,id,age,income,children,gender,region,married,car,savings_acct,current_acct,mortgage,pep,gender_FEMALE,gender_MALE,region_INNER_CITY,region_RURAL,region_SUBURBAN,region_TOWN,married_NO,married_YES,car_NO,car_YES,savings_acct_NO,savings_acct_YES,current_acct_NO,current_acct_YES,mortgage_NO,mortgage_YES,pep_NO,pep_YES
0,ID12101,0.61,0.22,0.33,FEMALE,INNER_CITY,NO,NO,NO,NO,NO,YES,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
1,ID12102,0.45,0.43,1.00,MALE,TOWN,YES,YES,NO,YES,YES,NO,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
2,ID12103,0.67,0.20,0.00,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
3,ID12104,0.10,0.26,1.00,FEMALE,TOWN,YES,NO,NO,YES,NO,NO,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
4,ID12105,0.80,0.78,0.00,FEMALE,RURAL,YES,NO,YES,NO,NO,NO,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0
5,ID12106,0.80,0.57,0.67,FEMALE,TOWN,YES,NO,YES,YES,NO,YES,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
6,ID12107,0.08,0.07,0.00,MALE,RURAL,NO,NO,NO,YES,NO,YES,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
7,ID12108,0.82,0.34,0.00,MALE,TOWN,YES,YES,YES,YES,NO,NO,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
8,ID12109,0.39,0.35,0.67,FEMALE,SUBURBAN,YES,YES,NO,NO,NO,NO,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
9,ID12110,0.73,0.33,0.67,MALE,TOWN,YES,YES,YES,YES,NO,NO,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
10,ID12111,0.98,0.94,0.00,FEMALE,TOWN,YES,NO,YES,YES,NO,NO,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
11,ID12112,0.69,0.37,0.00,FEMALE,INNER_CITY,NO,YES,YES,YES,YES,NO,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
12,ID12113,0.53,0.18,0.33,FEMALE,TOWN,YES,NO,YES,YES,YES,YES,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
13,ID12114,0.98,0.86,0.33,FEMALE,TOWN,YES,YES,YES,YES,YES,YES,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
14,ID12115,0.37,0.25,0.00,MALE,RURAL,YES,NO,YES,YES,YES,NO,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
15,ID12116,0.41,0.30,0.00,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,NO,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
16,ID12117,0.39,0.22,0.67,FEMALE,TOWN,YES,NO,NO,NO,YES,NO,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
17,ID12118,0.57,0.62,0.00,FEMALE,SUBURBAN,YES,NO,YES,NO,YES,NO,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
18,ID12119,0.90,0.38,0.00,FEMALE,INNER_CITY,YES,NO,YES,NO,NO,YES,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
19,ID12120,0.27,0.30,0.00,MALE,TOWN,YES,YES,YES,YES,NO,NO,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
20,ID12121,0.88,0.91,0.67,MALE,INNER_CITY,YES,NO,YES,NO,NO,YES,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
21,ID12122,0.65,0.20,0.67,MALE,TOWN,YES,NO,YES,YES,NO,NO,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
22,ID12123,0.73,0.58,0.00,MALE,INNER_CITY,YES,NO,YES,YES,NO,NO,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
23,ID12124,0.18,0.18,0.00,FEMALE,TOWN,NO,YES,YES,YES,YES,NO,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
24,ID12125,0.08,0.13,0.67,MALE,INNER_CITY,NO,YES,YES,YES,NO,NO,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0
25,ID12126,0.78,0.62,0.00,MALE,INNER_CITY,YES,YES,YES,YES,YES,NO,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
26,ID12127,0.55,0.27,0.00,MALE,INNER_CITY,YES,NO,YES,YES,YES,NO,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
27,ID12128,0.43,0.26,0.33,FEMALE,TOWN,YES,NO,NO,YES,NO,YES,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
28,ID12129,0.43,0.42,1.00,FEMALE,INNER_CITY,NO,YES,NO,YES,YES,NO,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0
29,ID12130,0.88,0.33,0.33,MALE,RURAL,YES,NO,NO,YES,NO,YES,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
30,ID12131,0.88,0.31,0.67,FEMALE,RURAL,YES,NO,YES,YES,NO,NO,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
31,ID12132,0.04,0.19,0.67,FEMALE,TOWN,YES,NO,YES,NO,NO,NO,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
32,ID12133,0.55,0.32,0.33,MALE,SUBURBAN,YES,YES,YES,YES,NO,YES,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
33,ID12134,0.31,0.43,1.00,FEMALE,INNER_CITY,NO,YES,YES,NO,NO,NO,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0
34,ID12135,0.51,0.56,0.00,MALE,SUBURBAN,NO,NO,YES,YES,NO,YES,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
35,ID12136,0.18,0.26,0.67,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
36,ID12137,0.02,0.10,1.00,MALE,RURAL,YES,YES,YES,YES,NO,NO,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
37,ID12138,0.37,0.14,0.00,FEMALE,RURAL,NO,YES,NO,YES,NO,YES,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1
38,ID12139,0.51,0.23,0.00,FEMALE,TOWN,YES,YES,YES,YES,NO,NO,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
39,ID12140,0.98,0.35,0.67,FEMALE,SUBURBAN,NO,NO,NO,YES,NO,NO,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
40,ID12141,0.76,0.37,0.00,MALE,TOWN,YES,NO,NO,YES,YES,YES,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
41,ID12142,0.59,0.38,0.00,FEMALE,INNER_CITY,YES,YES,NO,YES,NO,NO,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
42,ID12143,1.00,0.87,0.67,MALE,TOWN,NO,YES,YES,NO,NO,YES,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
43,ID12144,0.29,0.39,0.00,FEMALE,TOWN,YES,YES,NO,YES,YES,NO,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
44,ID12145,0.04,0.15,0.67,MALE,INNER_CITY,NO,YES,YES,YES,YES,NO,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
45,ID12146,0.94,0.82,0.67,MALE,INNER_CITY,YES,NO,YES,YES,YES,YES,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
46,ID12147,0.65,0.14,0.33,FEMALE,INNER_CITY,NO,YES,YES,YES,NO,YES,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
47,ID12148,0.22,0.14,0.67,MALE,INNER_CITY,NO,NO,YES,YES,YES,YES,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1
48,ID12149,0.69,0.59,0.67,MALE,INNER_CITY,NO,YES,NO,YES,NO,YES,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
49,ID12150,0.59,0.22,0.67,FEMALE,RURAL,YES,YES,YES,NO,NO,NO,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
50,ID12151,0.12,0.16,0.67,MALE,TOWN,NO,YES,YES,NO,NO,NO,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0
51,ID12152,0.37,0.32,0.00,MALE,TOWN,YES,NO,NO,NO,NO,NO,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
52,ID12153,0.51,0.19,0.33,MALE,TOWN,YES,NO,YES,YES,NO,YES,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
53,ID12154,0.61,0.43,0.33,MALE,SUBURBAN,NO,NO,YES,YES,NO,YES,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
54,ID12155,0.92,0.89,0.00,MALE,TOWN,YES,NO,YES,YES,YES,NO,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
55,ID12156,0.69,0.74,1.00,FEMALE,RURAL,NO,NO,YES,NO,NO,YES,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1
56,ID12157,0.82,0.34,0.00,FEMALE,INNER_CITY,NO,NO,NO,YES,NO,YES,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
57,ID12158,0.20,0.31,0.00,MALE,INNER_CITY,YES,NO,YES,YES,NO,YES,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
58,ID12159,0.22,0.17,0.00,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,NO,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
59,ID12160,0.33,0.35,0.33,MALE,INNER_CITY,NO,YES,YES,YES,YES,YES,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1
60,ID12161,0.49,0.34,0.33,FEMALE,INNER_CITY,YES,NO,YES,YES,YES,YES,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
61,ID12162,0.96,0.54,0.33,FEMALE,INNER_CITY,NO,YES,NO,YES,NO,YES,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
62,ID12163,0.59,0.38,0.67,MALE,INNER_CITY,YES,NO,YES,YES,NO,NO,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
63,ID12164,0.04,0.12,0.00,MALE,INNER_CITY,YES,NO,YES,NO,NO,NO,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
64,ID12165,0.06,0.00,0.00,MALE,TOWN,NO,YES,YES,YES,YES,NO,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
65,ID12166,0.49,0.21,0.00,MALE,INNER_CITY,YES,NO,YES,YES,NO,NO,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
66,ID12167,0.02,0.10,0.67,MALE,TOWN,NO,NO,YES,YES,NO,NO,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0
67,ID12168,0.47,0.51,0.00,FEMALE,TOWN,NO,NO,YES,YES,YES,NO,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
68,ID12169,0.24,0.25,0.67,MALE,TOWN,NO,NO,YES,YES,NO,NO,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0
69,ID12170,0.27,0.09,0.67,FEMALE,RURAL,YES,NO,NO,YES,NO,YES,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
70,ID12171,0.14,0.16,1.00,MALE,INNER_CITY,YES,YES,YES,YES,NO,NO,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
71,ID12172,0.06,0.05,0.00,MALE,INNER_CITY,NO,NO,NO,YES,NO,YES,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
72,ID12173,0.37,0.46,1.00,MALE,INNER_CITY,YES,YES,YES,YES,YES,YES,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
73,ID12174,0.82,0.31,0.67,FEMALE,INNER_CITY,YES,NO,YES,NO,YES,NO,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
74,ID12175,0.94,0.82,0.67,FEMALE,INNER_CITY,NO,YES,YES,YES,NO,YES,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
75,ID12176,0.84,0.53,0.67,FEMALE,RURAL,NO,YES,NO,NO,NO,YES,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1
76,ID12177,0.55,0.38,0.00,FEMALE,TOWN,NO,NO,YES,YES,YES,NO,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
77,ID12178,0.88,0.76,0.33,MALE,INNER_CITY,YES,YES,YES,YES,YES,YES,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
78,ID12179,0.24,0.17,0.00,FEMALE,INNER_CITY,YES,YES,NO,YES,NO,NO,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
79,ID12180,0.82,0.51,0.67,FEMALE,TOWN,YES,YES,YES,NO,NO,YES,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1
80,ID12181,0.65,0.29,1.00,FEMALE,TOWN,NO,NO,YES,YES,NO,YES,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
81,ID12182,0.24,0.39,1.00,MALE,INNER_CITY,NO,NO,NO,YES,NO,NO,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
82,ID12183,0.22,0.13,0.33,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
83,ID12184,0.35,0.20,0.33,MALE,INNER_CITY,YES,NO,YES,YES,NO,YES,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
84,ID12185,0.90,0.33,0.00,MALE,INNER_CITY,YES,NO,NO,YES,YES,YES,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1
85,ID12186,0.37,0.46,0.33,MALE,INNER_CITY,YES,YES,YES,YES,NO,YES,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
86,ID12187,0.14,0.18,0.00,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
87,ID12188,0.98,0.30,0.00,FEMALE,TOWN,NO,YES,YES,YES,YES,NO,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
88,ID12189,0.24,0.19,0.00,MALE,SUBURBAN,YES,YES,YES,NO,YES,NO,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
89,ID12190,0.73,0.45,0.67,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,YES,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
90,ID12191,0.39,0.34,0.33,MALE,TOWN,YES,YES,NO,YES,YES,YES,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
91,ID12192,0.20,0.35,0.67,FEMALE,INNER_CITY,NO,NO,YES,YES,YES,NO,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0
92,ID12193,0.71,0.51,0.00,FEMALE,RURAL,NO,NO,NO,YES,NO,YES,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
93,ID12194,0.88,0.65,0.67,MALE,INNER_CITY,YES,YES,YES,YES,NO,NO,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
94,ID12195,0.88,0.62,0.00,FEMALE,INNER_CITY,YES,YES,YES,NO,NO,NO,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
95,ID12196,0.00,0.09,0.00,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
96,ID12197,0.08,0.05,0.33,MALE,INNER_CITY,YES,NO,NO,NO,YES,NO,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0
97,ID12198,0.33,0.44,0.67,MALE,TOWN,YES,YES,YES,YES,YES,YES,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
98,ID12199,0.35,0.12,0.67,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,NO,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
99,ID12200,0.00,0.18,0.00,FEMALE,RURAL,YES,YES,NO,YES,NO,NO,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0
100,ID12201,0.73,0.37,0.33,MALE,INNER_CITY,YES,NO,YES,YES,YES,YES,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
101,ID12202,0.18,0.11,0.67,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
102,ID12203,0.49,0.18,0.00,MALE,INNER_CITY,YES,YES,NO,YES,YES,YES,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
103,ID12204,0.51,0.48,0.00,MALE,TOWN,NO,NO,YES,YES,YES,NO,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
104,ID12205,0.94,0.51,0.33,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,YES,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
105,ID12206,0.51,0.47,1.00,MALE,TOWN,YES,YES,YES,YES,NO,NO,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
106,ID12207,0.63,0.72,0.00,MALE,RURAL,YES,YES,YES,NO,NO,NO,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
107,ID12208,0.10,0.14,0.00,MALE,INNER_CITY,YES,NO,NO,YES,NO,NO,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
108,ID12209,0.10,0.13,0.00,MALE,INNER_CITY,NO,NO,YES,YES,NO,YES,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
109,ID12210,0.24,0.33,0.67,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,NO,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
110,ID12211,0.37,0.56,0.67,MALE,TOWN,NO,NO,YES,YES,NO,YES,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
111,ID12212,0.33,0.35,1.00,MALE,INNER_CITY,YES,YES,NO,NO,YES,NO,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0
112,ID12213,0.67,0.55,0.00,FEMALE,INNER_CITY,YES,YES,NO,YES,NO,NO,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
113,ID12214,0.37,0.49,0.67,MALE,TOWN,NO,YES,YES,YES,NO,YES,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
114,ID12215,0.78,0.66,0.33,MALE,INNER_CITY,YES,YES,YES,YES,NO,YES,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
115,ID12216,0.73,0.74,0.00,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
116,ID12217,0.78,0.29,0.67,FEMALE,TOWN,YES,NO,YES,NO,NO,NO,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
117,ID12218,0.16,0.09,1.00,MALE,INNER_CITY,YES,NO,YES,YES,YES,NO,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
118,ID12219,0.43,0.21,0.00,MALE,TOWN,NO,YES,NO,NO,NO,YES,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
119,ID12220,0.94,0.70,1.00,FEMALE,RURAL,YES,YES,YES,YES,NO,YES,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
120,ID12221,0.57,0.42,0.67,MALE,RURAL,NO,NO,YES,NO,YES,NO,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0
121,ID12222,0.90,0.86,0.33,FEMALE,RURAL,YES,YES,YES,YES,NO,YES,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
122,ID12223,0.37,0.27,0.33,FEMALE,TOWN,YES,NO,YES,NO,YES,YES,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
123,ID12224,0.35,0.48,0.33,FEMALE,RURAL,NO,NO,YES,YES,NO,YES,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1
124,ID12225,0.59,0.69,1.00,MALE,RURAL,NO,YES,YES,NO,NO,YES,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1
125,ID12226,0.59,0.58,0.67,MALE,INNER_CITY,YES,NO,NO,YES,NO,YES,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
126,ID12227,0.39,0.35,0.00,FEMALE,TOWN,YES,YES,YES,YES,NO,NO,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
127,ID12228,0.61,0.65,0.00,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
128,ID12229,0.47,0.16,1.00,MALE,TOWN,YES,YES,YES,YES,NO,NO,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
129,ID12230,0.18,0.28,0.00,FEMALE,RURAL,NO,YES,YES,YES,NO,YES,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1
130,ID12231,0.51,0.31,0.67,MALE,INNER_CITY,NO,NO,NO,YES,NO,NO,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
131,ID12232,0.88,0.63,1.00,MALE,RURAL,YES,NO,YES,YES,YES,NO,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
132,ID12233,0.69,0.20,0.67,FEMALE,SUBURBAN,NO,YES,YES,YES,NO,NO,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
133,ID12234,0.94,0.54,0.00,FEMALE,SUBURBAN,YES,YES,NO,YES,NO,NO,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
134,ID12235,0.98,0.94,0.67,FEMALE,TOWN,YES,YES,YES,YES,YES,YES,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
135,ID12236,0.71,0.45,0.33,FEMALE,TOWN,YES,YES,YES,YES,NO,YES,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
136,ID12237,0.04,0.16,0.67,FEMALE,INNER_CITY,YES,YES,NO,YES,YES,NO,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0
137,ID12238,0.80,0.59,0.00,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,YES,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
138,ID12239,0.96,0.64,0.00,FEMALE,RURAL,YES,NO,YES,YES,NO,NO,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
139,ID12240,0.94,0.86,0.33,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,YES,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
140,ID12241,0.69,0.55,1.00,MALE,INNER_CITY,YES,NO,YES,YES,NO,NO,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
141,ID12242,0.59,0.31,0.00,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,NO,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
142,ID12243,0.20,0.21,0.33,FEMALE,TOWN,YES,YES,NO,NO,YES,NO,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
143,ID12244,0.94,0.76,0.00,MALE,TOWN,YES,YES,YES,YES,YES,NO,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
144,ID12245,0.14,0.24,0.33,MALE,INNER_CITY,YES,NO,YES,YES,NO,YES,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
145,ID12246,0.82,0.79,0.00,MALE,SUBURBAN,YES,NO,YES,NO,YES,YES,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
146,ID12247,0.33,0.26,0.67,MALE,TOWN,YES,YES,NO,YES,NO,NO,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0
147,ID12248,0.04,0.24,0.67,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,NO,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
